Architecture,Sparse_Dim,Dense_Dim,Sparsity,AE_Loss,Diagonal_Mean,Off_Diagonal_Mean,Max_Superposition,RSA,Linear_CKA,RBF_CKA,Procrustes
10-5-10,10,5,0.5,0.05413129088362084,0.5792951148592895,-0.02507776521822197,1.1478251094612921,0.9996308902101347,0.9996759163514549,0.9997914727891224,0.9835780593787039
10-5-10,10,5,0.8,0.030624446895821757,0.8358130342977736,-0.07386429719181486,1.1534027034932497,0.9987322739971176,0.9982797806186119,0.9990300655913851,0.9670451821246117
10-5-10,10,5,0.85,0.13996142755736082,0.4600546210709492,-0.007954279543453562,1.181764392718382,0.9997757145480681,0.9993314348214055,0.9997919870040113,0.9749775271694577
10-5-10,10,5,0.875,0.04563520632524708,0.535870999043698,-0.005949625347205209,1.080946100347475,0.9844380785475823,0.9189387496965667,0.9793759434157389,0.5690471867387911
10-5-10,10,5,0.9,0.03131966932003603,0.8697514263201542,-0.08580292357674178,1.1339927035089141,0.9985169033657778,0.99558255651287,0.9981365326073334,0.944787318403251
10-5-10,10,5,0.925,0.024592018740609817,0.641358466093921,-0.0584633933381365,1.1311144800882298,0.9974287870633318,0.9945245211720684,0.9980375878909981,0.92811057126238
10-5-10,10,5,0.95,0.023173024338220553,0.5758348504855371,-0.058717685919809276,1.2497101635120478,0.9966748175904998,0.9877835938319052,0.9936198847700691,0.8852435550011328
20-5-20,20,5,0.5,0.06123032738141743,0.30801711796051384,-0.006567646817214357,1.1218995897188133,0.9977786448168664,0.9975593472565694,0.9981691668869394,0.9614531511088342
20-5-20,20,5,0.8,0.13786770411136845,0.4052074998767866,-0.01385268892520258,1.2893778525178616,0.9998839423677786,0.9997144306417027,0.9997876856724877,0.985104557069018
20-5-20,20,5,0.85,0.051754047250549676,0.42827213808774867,-0.01953310855398002,1.3186830577418265,0.9992831218917833,0.9981986417569804,0.9987394801772105,0.9649225803456394
20-5-20,20,5,0.875,0.037969052881608824,0.4979766583196584,-0.021434189849604022,1.1953617590593237,0.9994626333535931,0.9981408935889284,0.9985278836446497,0.9594257789111098
20-5-20,20,5,0.9,0.015599198421648183,0.5348011128581138,-0.027160812915500748,1.4280847685445868,0.9998661155294104,0.9995290037666358,0.9997119965439674,0.9826398789765247
20-5-20,20,5,0.925,0.01456111192373034,0.5225384742707135,-0.026784645149867004,1.276140989527279,0.9997854786650483,0.9992212286583418,0.9994991062564127,0.9718929606932355
20-5-20,20,5,0.95,0.05577194186597541,0.005110234717880861,0.000453286742469681,0.017871971262367014,,0.0002668527420454458,,-0.4142135623730896
