Sparsity,AE Loss,SAE MSE,SAE L0,Linear CKA,RBF CKA,Procrustes,RSA
0.3,0.0406,0.0381,0.465,0.818,0.808,0.397,0.779
0.5,0.0861,0.0000,0.373,1.000,1.000,0.996,1.000
0.75,0.1216,0.0464,0.000,0.002,nan,-0.414,nan
0.8,0.0982,0.0185,0.087,0.739,0.887,0.257,0.902
0.85,0.0161,0.0299,0.066,0.578,0.630,0.081,0.695
0.9,0.0385,0.0212,0.000,nan,nan,-0.414,nan
0.95,0.0372,0.0002,0.000,nan,nan,-0.414,nan
