Sparsity,AE Loss,Diag Mean,Off-Diag Mean,Max Value
0.3,0.0764,0.270,0.017,1.114
0.5,0.0639,0.311,0.021,1.114
0.75,0.0682,0.412,0.043,1.293
0.8,0.0396,0.382,0.046,1.233
0.85,0.1455,0.432,0.067,1.173
0.875,0.0968,0.405,0.049,1.234
0.9,0.0700,0.411,0.046,1.180
0.925,0.0301,0.535,0.080,1.259
0.95,0.0499,0.514,0.085,1.338
