Sparsity,AE Loss,SAE MSE,SAE L0,Linear CKA,RBF CKA,Procrustes,RSA
0.3,0.0539,0.1104,0.000,0.001,nan,-0.414,nan
0.5,0.0485,0.0000,0.574,1.000,1.000,0.989,1.000
0.75,0.0127,0.0001,0.650,0.999,1.000,0.977,1.000
0.8,0.0097,0.0287,0.322,0.918,0.775,0.429,0.853
0.85,0.0029,0.0223,0.325,0.897,0.744,0.399,0.825
0.9,0.0037,0.0002,0.660,0.996,0.999,0.938,0.997
0.95,0.0011,0.0069,0.043,0.935,0.783,0.455,0.855
