Architecture,Sparse_Dim,SAE_Hidden_Dim,Sparsity,AE_Loss,SAE_MSE,SAE_L0,Mean_Active_Nodes,Dead_Neurons,Procrustes,Linear_CKA,RSA
3-2-3,3,3,0.3,0.0538851340106943,0.11036082407966435,0.0,0.0,3,-0.41421356237309137,0.0008039641433374953,
3-2-3,3,3,0.5,0.048489722536634944,1.6161240840667952e-05,0.5741666666666667,1.7225,1,0.989438043548867,0.9998695967254656,0.9998276828232032
3-2-3,3,3,0.75,0.012739963922373351,7.884134938124088e-05,0.6498333333333334,1.9495,1,0.9774197058049076,0.9994655725925341,0.9995004858227149
3-2-3,3,3,0.8,0.009664937186005779,0.028723517310543286,0.32183333333333336,0.9655,2,0.4287755653683152,0.918275388329619,0.853142193921148
3-2-3,3,3,0.85,0.0029417464996613395,0.02225532642785613,0.32466666666666666,0.974,2,0.39887556979789796,0.896648300167726,0.8253898047439802
3-2-3,3,3,0.9,0.0037010271287778217,0.0001773586922709273,0.6603333333333333,1.981,1,0.9383386437284216,0.996455335729669,0.9974621306047293
3-2-3,3,3,0.95,0.001077320687220162,0.006862029392618924,0.043166666666666666,0.1295,1,0.45494167979613753,0.9349324419071181,0.8547352647903731
5-2-5,5,5,0.3,0.12394513997753624,0.11905148938506718,0.0,0.0,5,-0.41421356237309426,0.00045713654538760186,
5-2-5,5,5,0.5,0.10880691284348193,2.8397969218889743e-05,0.3634,1.817,3,0.9869467048714446,0.9997945247744063,0.9997190920122554
5-2-5,5,5,0.75,0.045201043282866435,4.162394545354071e-05,0.3935,1.9675,3,0.9825528901792396,0.9996775313072398,0.9996115670402531
5-2-5,5,5,0.8,0.07428706717156604,0.00010287392272716574,0.3285,1.6425,2,0.9751653934866101,0.9993499153010238,0.9993944411731486
5-2-5,5,5,0.85,0.07485364235352072,6.232680742303132e-05,0.2274,1.137,3,0.9709052379313501,0.9991142350678257,0.9993576426809864
5-2-5,5,5,0.9,0.04254777750087673,0.00015244710246656204,0.3861,1.9305,3,0.948362912983778,0.9977836497682897,0.9985131690401507
5-2-5,5,5,0.95,0.026473602883931663,0.00011020220470776827,0.3883,1.9415,3,0.9256007751942898,0.9952886742461754,0.9969642293864129
4-3-4,4,4,0.3,0.040584225877348105,0.038087085106746486,0.464625,1.8585,2,0.3967414904552786,0.818496973111475,0.7792651285968835
4-3-4,4,4,0.5,0.08607850833771218,2.7028672421351263e-06,0.372625,1.4905,1,0.9963674652739353,0.9999853686519523,0.9999860905256075
4-3-4,4,4,0.75,0.12160544112684792,0.04636779239269764,0.0,0.0,4,-0.41421356237309404,0.0017240584309996634,
4-3-4,4,4,0.8,0.09823318540138416,0.018516020846201627,0.087125,0.3485,3,0.25685772736749746,0.739286244569441,0.9015482651092506
4-3-4,4,4,0.85,0.01605529421741671,0.029917830537504693,0.065875,0.2635,3,0.08141578458476184,0.5776591879754978,0.6951516218818341
4-3-4,4,4,0.9,0.03853477677377527,0.02122013752728426,0.0,0.0,4,-0.4142135623730905,,
4-3-4,4,4,0.95,0.03718802197894517,0.000229283942119623,0.0,0.0,4,-0.41421356237309603,,
8-3-8,8,8,0.3,0.10831698032018702,4.075295304779011e-05,0.36425,2.914,5,0.9882854409211371,0.999807975669269,0.9998046723262195
8-3-8,8,8,0.5,0.10275853486002867,3.632074969745183e-05,0.360375,2.883,5,0.9849882775801388,0.9997129022801114,0.9997656956663578
8-3-8,8,8,0.75,0.10189210621764372,2.403571461184963e-05,0.3425625,2.7405,5,0.9860666963179716,0.9997833571660633,0.9998398752883962
8-3-8,8,8,0.8,0.14323688084966854,0.00011028625254937592,0.3536875,2.8295,5,0.9646197744066713,0.9986377053864646,0.9989713135707093
8-3-8,8,8,0.85,0.11856615230563879,0.015689248055120567,0.245875,1.967,6,0.4959269600252709,0.9165068242157346,0.9547671902731112
8-3-8,8,8,0.9,0.04855301286398783,0.00013989800371929745,0.26175,2.094,3,0.9575771231252711,0.9987294980497295,0.9995327394226942
8-3-8,8,8,0.95,0.04047441229510473,7.86166187631537e-05,0.2515,2.012,5,0.9400606541986918,0.9969076648261901,0.9982767181806584
