Architecture,Sparse_Dim,Dense_Dim,Sparsity,AE_Loss,Diagonal_Mean,Off_Diagonal_Mean,Max_Superposition
10-5-10,10,5,0.5,0.052251547290355506,0.6137112891712161,-0.026936167976953227,1.1196481404349534
10-5-10,10,5,0.8,0.021052969092095954,0.8304686363427617,-0.08400273480194272,1.164710818236608
10-5-10,10,5,0.85,0.057759836187798695,0.6867830496029058,-0.041712084257081686,1.3163501427030055
10-5-10,10,5,0.875,0.11356646813928861,0.23477889070199698,0.010414548705804707,1.0706763057567885
10-5-10,10,5,0.9,0.10405820343131526,0.007489645587382278,-0.0003102054425974725,0.021834456907602738
10-5-10,10,5,0.925,0.07955505463925419,0.007489645587382278,-0.0003102054425974725,0.021834456907602738
10-5-10,10,5,0.95,0.021086726923747086,0.6726765937958329,-0.05683441744403893,1.2887378046705829
20-5-20,20,5,0.5,0.07516344185716925,0.33633182213116614,-0.013757088828186092,1.0451265701072252
20-5-20,20,5,0.8,0.05425130230937489,0.47984065601471376,-0.023981405647234125,1.1254630943964787
20-5-20,20,5,0.85,0.028219970598362794,0.49510776006940616,-0.025864875545951387,1.1944954343944323
20-5-20,20,5,0.875,0.057963899279122516,0.4191363728748977,-0.018203329629449337,1.0984408039658644
20-5-20,20,5,0.9,0.03508354200418452,0.5066203136428357,-0.02478494353668348,1.3306105919832036
20-5-20,20,5,0.925,0.0217781217034561,0.4937132204550324,-0.021671859244329385,1.309125071359799
20-5-20,20,5,0.95,0.043629761985569046,0.4512452285798171,-0.02000185375820305,1.5757258676385812
