Sparsity,AE Loss,SAE MSE,SAE L0,Linear CKA,RBF CKA,Procrustes,RSA
0.5,0.0541,0.0000,0.479,1.000,1.000,0.984,1.000
0.8,0.0306,0.0001,0.583,0.998,0.999,0.967,0.999
0.85,0.1400,0.0001,0.483,0.999,1.000,0.975,1.000
0.875,0.0456,0.0070,0.363,0.919,0.979,0.569,0.984
0.9,0.0313,0.0002,0.538,0.996,0.998,0.945,0.999
0.925,0.0246,0.0002,0.489,0.995,0.998,0.928,0.997
0.95,0.0232,0.0002,0.347,0.988,0.994,0.885,0.997
