Sparsity,AE Loss,Diag Mean,Off-Diag Mean,Max Value
0.3,0.0554,0.703,0.039,1.089
0.5,0.0459,0.957,0.313,1.035
0.75,0.0163,1.061,0.373,1.141
0.8,0.0113,1.008,0.363,1.013
0.85,0.0057,1.031,0.379,1.064
0.9,0.0024,1.047,0.403,1.064
0.95,0.0192,0.367,0.065,1.066
