Architecture,Sparse_Dim,Dense_Dim,Compression,Sparsity,AE_Loss,Diag_Mean,Off_Diag_Mean,Max_Value,Diag_Dominance
3-2-3,3,2,3/2 = 1.5,0.3,0.0538851340106943,0.6690221372518583,0.0669618007869807,1.0229336696133455,9.991099843165165
3-2-3,3,2,3/2 = 1.5,0.5,0.048489722536634944,0.8642322367814224,0.2672536007540253,1.0853036013262762,3.233753266581097
3-2-3,3,2,3/2 = 1.5,0.75,0.012739963922373351,1.0714558732981365,0.3817954026793131,1.2247967763257415,2.8063613069078435
3-2-3,3,2,3/2 = 1.5,0.8,0.009664937186005779,1.1160458873176682,0.401332742372937,1.2883463716670442,2.780849259670157
3-2-3,3,2,3/2 = 1.5,0.85,0.0029417464996613395,1.0307501037998608,0.35066892216590956,1.0466711998753158,2.939382446666787
3-2-3,3,2,3/2 = 1.5,0.9,0.0037010271287778217,1.0364286031697054,0.36778142917337053,1.0512670748631046,2.8180557602341034
3-2-3,3,2,3/2 = 1.5,0.95,0.001077320687220162,1.0597703520379087,0.393506271164847,1.1974674162717853,2.693147232366417
5-2-5,5,2,5/2 = 2.5,0.3,0.12394513997753624,0.42680902784886693,0.03306462753712945,1.0678045651937291,12.908323200869447
5-2-5,5,2,5/2 = 2.5,0.5,0.10880691284348193,0.5944362854033003,0.11043416154186365,1.0334450579414278,5.382720557449557
5-2-5,5,2,5/2 = 2.5,0.75,0.045201043282866435,0.7580613954921841,0.21435151121697232,1.1198810314034102,3.536533779598672
5-2-5,5,2,5/2 = 2.5,0.8,0.07428706717156604,0.8455976775694058,0.2819120771958078,1.079289997261974,2.999508414061291
5-2-5,5,2,5/2 = 2.5,0.85,0.07485364235352072,0.6176569755791813,0.10929013258947502,1.0537258661700968,5.651534172658895
5-2-5,5,2,5/2 = 2.5,0.9,0.04254777750087673,0.6291542046343459,0.13682697420700413,1.068626122415197,4.598173439842137
5-2-5,5,2,5/2 = 2.5,0.95,0.026473602883931663,0.41866992105093165,0.113038073128533,1.0677845978253935,3.7037953003402553
4-3-4,4,3,4/3 = 1.3,0.3,0.040584225877348105,0.7793110677084177,0.031059277385915254,1.0598408273454392,25.09108010191564
4-3-4,4,3,4/3 = 1.3,0.5,0.08607850833771218,0.7504055180065964,0.0012941264810852548,1.002140978394925,579.8503704781671
4-3-4,4,3,4/3 = 1.3,0.75,0.12160544112684792,0.5067108664242271,0.0022700562842105916,1.0282299208553682,223.21412812861288
4-3-4,4,3,4/3 = 1.3,0.8,0.09823318540138416,0.5036895425504062,0.011670855285621215,1.0160976216426427,43.15785764153784
4-3-4,4,3,4/3 = 1.3,0.85,0.01605529421741671,0.7594988378217733,0.01014164378494122,1.02221152598958,74.8890520153144
4-3-4,4,3,4/3 = 1.3,0.9,0.03853477677377527,0.5006716867044386,0.003921305416199231,1.0039833373547602,127.679524232131
4-3-4,4,3,4/3 = 1.3,0.95,0.03718802197894517,0.009275717752208475,0.004000300102931691,0.020393118879731206,2.318749675284078
8-3-8,8,3,8/3 = 2.7,0.3,0.10831698032018702,0.39060511402671266,0.02755669183244765,1.0323866108242519,14.174595944090099
8-3-8,8,3,8/3 = 2.7,0.5,0.10275853486002867,0.41097741464854654,0.03229730331212784,1.1178706256248607,12.724817407465965
8-3-8,8,3,8/3 = 2.7,0.75,0.10189210621764372,0.5162973833328328,0.04710262854439815,1.0687395206438932,10.96111384176875
8-3-8,8,3,8/3 = 2.7,0.8,0.14323688084966854,0.5332392037975888,0.056567169166861477,1.130146589665909,9.426653611710838
8-3-8,8,3,8/3 = 2.7,0.85,0.11856615230563879,0.5634417081432833,0.08455231785160901,1.2267945190235354,6.663822539955785
8-3-8,8,3,8/3 = 2.7,0.9,0.04855301286398783,0.6383628022166042,0.12165966549049212,1.1506975435832854,5.247119060961931
8-3-8,8,3,8/3 = 2.7,0.95,0.04047441229510473,0.4438371120971706,0.0832230515617823,1.7332423797013157,5.3331024330038534
