Sparsity,AE Loss,SAE MSE,SAE L0,Linear CKA,RBF CKA,Procrustes,RSA
0.5,0.0612,0.0003,0.283,0.998,0.998,0.961,0.998
0.8,0.1379,0.0000,0.245,1.000,1.000,0.985,1.000
0.85,0.0518,0.0001,0.223,0.998,0.999,0.965,0.999
0.875,0.0380,0.0002,0.280,0.998,0.999,0.959,0.999
0.9,0.0156,0.0000,0.263,1.000,1.000,0.983,1.000
0.925,0.0146,0.0001,0.184,0.999,0.999,0.972,1.000
0.95,0.0558,0.0003,0.000,0.000,nan,-0.414,nan
