Sparsity,AE Loss,SAE MSE,SAE L0,Linear CKA,RBF CKA,Procrustes,RSA
0.5,0.0752,0.0001,0.330,0.999,0.999,0.979,1.000
0.8,0.0543,0.0000,0.291,1.000,1.000,0.986,1.000
0.85,0.0282,0.0000,0.294,1.000,1.000,0.986,1.000
0.875,0.0580,0.0000,0.256,1.000,1.000,0.976,1.000
0.9,0.0351,0.0000,0.225,1.000,1.000,0.985,1.000
0.925,0.0218,0.0001,0.232,0.998,0.999,0.964,1.000
0.95,0.0436,0.0000,0.223,0.999,0.999,0.966,1.000
