Sparsity,AE Loss,Diag Mean,Off-Diag Mean,Max Value
0.3,0.0406,0.779,0.031,1.060
0.5,0.0861,0.750,0.001,1.002
0.75,0.1216,0.507,0.002,1.028
0.8,0.0982,0.504,0.012,1.016
0.85,0.0161,0.759,0.010,1.022
0.9,0.0385,0.501,0.004,1.004
0.95,0.0372,0.009,0.004,0.020
