Sparsity,AE Loss,Diag Mean,Off-Diag Mean,Max Value
0.3,0.1239,0.427,0.033,1.068
0.5,0.1088,0.594,0.110,1.033
0.75,0.0452,0.758,0.214,1.120
0.8,0.0743,0.846,0.282,1.079
0.85,0.0749,0.618,0.109,1.054
0.9,0.0425,0.629,0.137,1.069
0.95,0.0265,0.419,0.113,1.068
