Sparsity,AE Loss,SAE MSE,SAE L0,Linear CKA,RBF CKA,Procrustes,RSA
0.3,0.1083,0.0000,0.364,1.000,1.000,0.988,1.000
0.5,0.1028,0.0000,0.360,1.000,1.000,0.985,1.000
0.75,0.1019,0.0000,0.343,1.000,1.000,0.986,1.000
0.8,0.1432,0.0001,0.354,0.999,1.000,0.965,0.999
0.85,0.1186,0.0157,0.246,0.917,0.943,0.496,0.955
0.9,0.0486,0.0001,0.262,0.999,0.999,0.958,1.000
0.95,0.0405,0.0001,0.252,0.997,0.990,0.940,0.998
