Sparsity,AE Loss,Diag Mean,Off-Diag Mean,Max Value
0.3,0.1257,0.415,0.039,1.033
0.5,0.1112,0.553,0.139,1.104
0.75,0.0434,0.820,0.263,1.094
0.8,0.0311,0.834,0.261,1.076
0.85,0.0429,0.614,0.136,1.184
0.9,0.0522,0.416,0.046,1.042
0.95,0.0251,0.419,0.060,1.059
