Sparsity,AE Loss,Diag Mean,Off-Diag Mean,Max Value
0.3,0.0394,0.789,0.046,1.066
0.5,0.0362,1.047,0.209,1.115
0.75,0.0095,1.035,0.218,1.086
0.8,0.0692,0.755,0.020,1.022
0.85,0.0515,0.751,0.001,1.002
0.9,0.0352,0.754,0.036,1.029
0.95,0.0009,1.043,0.305,1.088
