Sparsity,AE Loss,Diag Mean,Off-Diag Mean,Max Value
0.3,0.0539,0.669,0.067,1.023
0.5,0.0485,0.864,0.267,1.085
0.75,0.0127,1.071,0.382,1.225
0.8,0.0097,1.116,0.401,1.288
0.85,0.0029,1.031,0.351,1.047
0.9,0.0037,1.036,0.368,1.051
0.95,0.0011,1.060,0.394,1.197
