Sparsity,AE Loss,Diag Mean,Off-Diag Mean,Max Value
0.3,0.1029,0.182,0.020,1.066
0.5,0.0735,0.220,0.019,1.142
0.75,0.0353,0.312,0.031,1.195
0.8,0.1054,0.352,0.037,1.303
0.85,0.0583,0.338,0.044,1.416
0.875,0.0611,0.339,0.044,1.313
0.9,0.0369,0.325,0.043,1.456
0.925,0.0094,0.427,0.058,1.376
0.95,0.0382,0.370,0.073,1.448
