Sparsity,AE Loss,SAE MSE,SAE L0,Linear CKA,RBF CKA,Procrustes,RSA
0.8,0.0921,0.0001,0.290,0.999,0.999,0.976,1.000
0.85,0.0797,0.0000,0.276,1.000,1.000,0.988,1.000
0.9,0.0334,0.0000,0.228,1.000,1.000,0.980,1.000
