Sparsity,AE Loss,Diag Mean,Off-Diag Mean,Max Value
0.3,0.1083,0.391,0.028,1.032
0.5,0.1028,0.411,0.032,1.118
0.75,0.1019,0.516,0.047,1.069
0.8,0.1432,0.533,0.057,1.130
0.85,0.1186,0.563,0.085,1.227
0.9,0.0486,0.638,0.122,1.151
0.95,0.0405,0.444,0.083,1.733
