Sparsity,AE Loss,SAE MSE,SAE L0,Linear CKA,RBF CKA,Procrustes,RSA
0.3,0.0739,0.0001,0.161,1.000,1.000,0.982,0.999
0.5,0.0766,0.0002,0.196,0.999,0.999,0.970,0.999
0.75,0.0991,0.0000,0.232,1.000,1.000,0.988,1.000
0.8,0.0810,0.0001,0.223,0.999,0.999,0.972,1.000
0.85,0.0313,0.0001,0.231,0.999,0.999,0.976,1.000
0.9,0.0480,0.0002,0.230,0.998,0.999,0.956,0.999
0.95,0.0383,0.0001,0.186,0.998,0.998,0.956,0.999
