Sparsity,AE Loss,SAE MSE,SAE L0,Linear CKA,RBF CKA,Procrustes,RSA
0.3,0.1239,0.1191,0.000,0.000,nan,-0.414,nan
0.5,0.1088,0.0000,0.363,1.000,1.000,0.987,1.000
0.75,0.0452,0.0000,0.394,1.000,1.000,0.983,1.000
0.8,0.0743,0.0001,0.329,0.999,0.999,0.975,0.999
0.85,0.0749,0.0001,0.227,0.999,1.000,0.971,0.999
0.9,0.0425,0.0002,0.386,0.998,0.999,0.948,0.999
0.95,0.0265,0.0001,0.388,0.995,0.987,0.926,0.997
