Sparsity,AE Loss,SAE MSE,SAE L0,Linear CKA,RBF CKA,Procrustes,RSA
0.75,0.0739,0.0001,0.262,1.000,1.000,0.980,1.000
0.8,0.0543,0.0000,0.291,1.000,1.000,0.986,1.000
0.85,0.0282,0.0000,0.294,1.000,1.000,0.986,1.000
0.9,0.0351,0.0000,0.225,1.000,1.000,0.985,1.000
0.95,0.0436,0.0000,0.223,0.999,0.999,0.966,1.000
