Architecture,Sparse_Dim,Dense_Dim,Sparsity,AE_Loss,Diagonal_Mean,Off_Diagonal_Mean,Max_Superposition
10-5-10,10,5,0.3,0.058279030611487176,0.522682107520473,-0.0011335939859460303,1.149324497214879
10-5-10,10,5,0.5,0.04967411449232155,0.5894935132410135,-0.025514638284147236,1.0684320837739514
10-5-10,10,5,0.75,0.04664352483089693,0.7428660821278364,-0.05476715309759556,1.0813387433096961
10-5-10,10,5,0.8,0.03347394786082551,0.8164161366692584,-0.07053327713156156,1.0937987914996363
10-5-10,10,5,0.85,0.0803076194022638,0.7403794429851682,-0.055538545515570005,1.1571768718805309
10-5-10,10,5,0.875,0.05598744746342952,0.6379139823456177,-0.040725699391796606,1.1000658245227513
10-5-10,10,5,0.9,0.10838750366671393,0.005827352750635896,-5.075055687099825e-05,0.017937121746370403
10-5-10,10,5,0.925,0.08208545425703169,0.005827352750635896,-5.075055687099825e-05,0.017937121746370403
10-5-10,10,5,0.95,0.0353762394703425,0.5443229764002314,-0.0320221509842626,1.104261207254656
20-5-20,20,5,0.3,0.0764044682908602,0.2695712691905276,-0.004486821181300397,1.1140990701889049
20-5-20,20,5,0.5,0.06392080891372581,0.31076250597648547,-0.007849381152007121,1.1143885335632966
20-5-20,20,5,0.75,0.06819409029006954,0.4120874195738886,-0.01639588660425758,1.293045587925811
20-5-20,20,5,0.8,0.03956539722092463,0.38174562983173055,-0.011839237013150603,1.233220027686228
20-5-20,20,5,0.85,0.14552522025691006,0.43187053559718913,-0.021073156124372484,1.1729148260367854
20-5-20,20,5,0.875,0.09679186430913714,0.4046157546538932,-0.019182384472933533,1.2342859779603221
20-5-20,20,5,0.9,0.07000036119388667,0.41088866154348136,-0.019513160266180125,1.1796859633454206
20-5-20,20,5,0.925,0.030062484220371073,0.5348456914218896,-0.02702590250172468,1.2594524711226887
20-5-20,20,5,0.95,0.049943703837601695,0.5135434671353922,-0.023988170611518936,1.3376374068435977
30-5-30,30,5,0.3,0.10288878704258361,0.18159074490787003,-0.002866815682082383,1.0655131702855087
30-5-30,30,5,0.5,0.07350213719283902,0.2198964950007703,-0.003828247323993282,1.1422521088196078
30-5-30,30,5,0.75,0.03532769383611737,0.3121913247817133,-0.008893666365816833,1.1954037864080043
30-5-30,30,5,0.8,0.10535529159861719,0.35243036038590775,-0.01050673968201949,1.3026398761006157
30-5-30,30,5,0.85,0.0583200175110991,0.33784872231475216,-0.011112699279423826,1.4156577005149045
30-5-30,30,5,0.875,0.06106366580547178,0.33909698881156003,-0.010954548168485597,1.3131274607775754
30-5-30,30,5,0.9,0.036919036291720365,0.32459810176899656,-0.009174537735257978,1.4560989296296225
30-5-30,30,5,0.925,0.009369691792472074,0.42696765296785333,-0.014262032090515636,1.3760394447553537
30-5-30,30,5,0.95,0.03819122817500679,0.3702881647956568,-0.006684377611087067,1.447938380825562
