Architecture,Sparse_Dim,Dense_Dim,Sparsity,AE_Loss,Diagonal_Mean,Off_Diagonal_Mean,Max_Superposition
3-2-3,3,2,0.3,0.05540441882423586,0.703159088506422,-0.004412929111883582,1.0891396120269092
3-2-3,3,2,0.5,0.04592992921462477,0.9567958055941969,-0.2965426808643267,1.0348285812448417
3-2-3,3,2,0.75,0.016263830319325153,1.0606253265798502,-0.3732559336493497,1.1406176874680938
3-2-3,3,2,0.8,0.011332645378567334,1.0080141458325345,-0.3557674627518695,1.0131160891506328
3-2-3,3,2,0.85,0.00573569152918869,1.0307845529643531,-0.3787635417074888,1.063956932332627
3-2-3,3,2,0.9,0.002413752065587113,1.0469479709494298,-0.38170445411146176,1.0641240986335487
3-2-3,3,2,0.95,0.01917052154834208,0.36667901717830764,-0.06385866626878682,1.0664735085559602
5-2-5,5,2,0.3,0.12571516976456343,0.41501669262767554,-0.02906607796484108,1.0329893800172143
5-2-5,5,2,0.5,0.11123212055115643,0.5532385354257181,-0.07106743172091586,1.1042906851710068
5-2-5,5,2,0.75,0.04342836212273212,0.8195757080027182,-0.2038468914260671,1.0936020650496538
5-2-5,5,2,0.8,0.03111705900902234,0.8337380704199278,-0.206614110183665,1.0756309948454217
5-2-5,5,2,0.85,0.04287535255393712,0.6143423157854557,-0.10970539964669299,1.183832753456615
5-2-5,5,2,0.9,0.05221146473653348,0.416295363414961,-0.03083622977304923,1.0422415912976202
5-2-5,5,2,0.95,0.025064981245257967,0.41937865191930845,-0.04126464193044584,1.0585534485132377
4-3-4,4,3,0.3,0.039386588735697045,0.7888637004518687,-0.02503558758697667,1.0663147924495224
4-3-4,4,3,0.5,0.03617455010951401,1.0472281469877496,-0.1741374129276383,1.115007820642883
4-3-4,4,3,0.75,0.009476510894336989,1.0350899544441472,-0.17926926356082987,1.0862727714113807
4-3-4,4,3,0.8,0.06918591985688288,0.7545341587251387,-0.008703350604359993,1.0220297073777767
4-3-4,4,3,0.85,0.051511869627250746,0.7508216390429991,-0.0010081244389186846,1.0020471593142917
4-3-4,4,3,0.9,0.03519700585689687,0.7538653775545159,-0.018182893212282367,1.0289332029992562
4-3-4,4,3,0.95,0.0008976114592332704,1.0425844131520892,-0.295939115913929,1.0881040998868157
8-3-8,8,3,0.3,0.10719604831795748,0.3827827451708995,-0.000273584280155205,1.0397841611208798
8-3-8,8,3,0.5,0.10777166476790176,0.45583663056113544,-0.024578143478075163,1.004165640264537
8-3-8,8,3,0.75,0.08715991076287298,0.6787104273207285,-0.08434011079050942,1.1945972108665934
8-3-8,8,3,0.8,0.04584656408846079,0.7578173129556206,-0.1061724198125303,1.365273870377638
8-3-8,8,3,0.85,0.10997759243835903,0.6527894219587721,-0.07647000678484098,1.0666459907750938
8-3-8,8,3,0.9,0.03394395490034998,0.6681492994986847,-0.08268847559765621,1.1689551265961722
8-3-8,8,3,0.95,0.034353752328231374,0.5220683364152668,-0.06010263924410225,1.0611815049984141
