Architecture,Sparse_Dim,SAE_Hidden_Dim,Sparsity,AE_Loss,SAE_MSE,SAE_L0,Mean_Active_Nodes,Dead_Neurons,Procrustes,Linear_CKA,RSA
10-5-10,10,10,0.3,0.0538474196500858,2.1118360326448397e-05,0.4533,4.533,5,0.9872219673147938,0.9998334666819592,0.9997526641955032
10-5-10,10,10,0.5,0.052251547290355506,0.00014922347652596295,0.5513,5.513,4,0.9757065712335536,0.9992126980934019,0.9991029438165113
10-5-10,10,10,0.75,0.024790991672548637,0.00022384040263665877,0.5766,5.766,2,0.957666672007447,0.9978059663204746,0.9971633356213132
10-5-10,10,10,0.8,0.021052969092095954,0.0003769019251314363,0.77955,7.7955,2,0.9500043037691266,0.9970330395743261,0.9969522143109326
10-5-10,10,10,0.85,0.057759836187798695,6.391517770464209e-05,0.4306,4.306,4,0.9695074577522874,0.9991263733574993,0.9995775501217441
10-5-10,10,10,0.9,0.10405820343131526,0.00047309437689901105,0.0,0.0,10,-0.4142135623730947,0.0047319269212261345,
10-5-10,10,10,0.95,0.021086726923747086,0.0001416311751771565,0.2794,2.794,4,0.9237236724185508,0.9945713038796072,0.9981045494451624
20-5-20,20,20,0.3,0.0731978209191309,6.535748360274728e-05,0.33445,6.689,11,0.9801055095674249,0.9995596877606483,0.9994040357168692
20-5-20,20,20,0.5,0.07516344185716925,0.000127573861389196,0.330475,6.6095,8,0.9793314727903302,0.9994726673881708,0.9996059270326623
20-5-20,20,20,0.75,0.07393571421491517,5.447840131003234e-05,0.2618,5.236,11,0.9801830477800596,0.9996225570198308,0.9997830423914897
20-5-20,20,20,0.8,0.05425130230937489,2.7847088275827104e-05,0.291175,5.8235,8,0.9860182036175924,0.9997354524462996,0.9998827050488317
20-5-20,20,20,0.85,0.028219970598362794,2.7644142667700538e-05,0.293775,5.8755,7,0.9859036212095952,0.999803447339221,0.9999056090057696
20-5-20,20,20,0.9,0.03508354200418452,2.1685069950421655e-05,0.225425,4.5085,10,0.984718331699787,0.9997157677465429,0.9999111839491086
20-5-20,20,20,0.95,0.043629761985569046,4.561828066900023e-05,0.223,4.46,6,0.9659606777327092,0.9986693589964748,0.9997351539250773
30-5-30,30,30,0.3,0.0738821201874282,5.691888115453596e-05,0.16128333333333333,4.8385,24,0.9817206663739919,0.9996072246042798,0.9994600312983385
30-5-30,30,30,0.5,0.07655466008857383,0.00018191238955862882,0.19583333333333333,5.875,19,0.9702207047210654,0.9987327333462368,0.9990262074226677
30-5-30,30,30,0.75,0.09905856903397896,2.6926537883384137e-05,0.23168333333333332,6.9505,16,0.9877663942632217,0.9998028236977097,0.9998893307750791
30-5-30,30,30,0.8,0.08102207763350486,9.23918078092048e-05,0.22348333333333334,6.7045,16,0.9723772117835636,0.9990525903890449,0.9995442301328161
30-5-30,30,30,0.85,0.03126532326857014,6.825356874079935e-05,0.2308,6.924,16,0.9757476603660441,0.9991327518895922,0.9996276640889479
30-5-30,30,30,0.9,0.04798119085330307,0.00019156482708314177,0.2299,6.897,16,0.9558992180069227,0.9975500871932107,0.9993791802341656
30-5-30,30,30,0.95,0.03831889089297251,8.542057279335491e-05,0.1858,5.574,14,0.9559794271067849,0.9977359052052782,0.9993657471373163
