Sparsity,AE Loss,Diag Mean,Off-Diag Mean,Max Value
0.3,0.0583,0.523,0.022,1.149
0.5,0.0497,0.589,0.043,1.068
0.75,0.0466,0.743,0.089,1.081
0.8,0.0335,0.816,0.091,1.094
0.85,0.0803,0.740,0.069,1.157
0.9,0.1084,0.006,0.002,0.018
0.95,0.0354,0.544,0.065,1.104
